t 1 2 3 4 jOP1 jV0200 
0.0001698 -9.50706 -3.20628 1.5483 1.5483 -0.000154621 0.000630079 
0.0001704 -9.67575 -3.57823 1.2605 1.2605 -0.00012588 0.000609753 
0.000171 -9.80969 -3.93732 0.968177 0.968177 -9.66865e-005 0.000587236 
0.0001716 -9.90839 -4.28228 0.672372 0.672372 -6.7146e-005 0.000562611 
0.0001722 -9.97149 -4.61185 0.374153 0.374153 -3.73643e-005 0.000535964 
0.0001728 -9.99879 -4.92486 0.0745892 0.0745892 -7.44833e-006 0.000507393 
0.0001734 -9.99016 -5.22017 -0.225242 -0.225242 2.24944e-005 0.000476999 
0.000174 -9.94566 -5.49674 -0.524264 -0.524264 5.23562e-005 0.000444891 
0.0001746 -9.86542 -5.75356 -0.821404 -0.821404 8.20301e-005 0.000411186 
0.0001752 -9.74976 -5.98972 -1.11559 -1.11559 0.000111409 0.000376004 
0.0001758 -9.59907 -6.20436 -1.40577 -1.40577 0.000140388 0.000339471 
0.0001764 -9.41391 -6.39672 -1.69091 -1.69091 0.000168863 0.000301718 
0.000177 -9.19492 -6.5661 -1.96996 -1.96996 0.000196731 0.000262882 
0.0001776 -8.94292 -6.7119 -2.24195 -2.24195 0.000223893 0.000223102 
0.0001782 -8.65879 -6.83358 -2.50588 -2.50588 0.00025025 0.00018252 
0.0001788 -8.34356 -6.93072 -2.76081 -2.76081 0.000275709 0.000141283 
0.0001794 -7.99836 -7.00297 -3.00582 -3.00582 0.000300177 9.95385e-005 
0.00018 -7.62443 -7.05006 -3.24003 -3.24003 0.000323567 5.74362e-005 
0.0001806 -7.22311 -7.07183 -3.46261 -3.46261 0.000345795 1.51276e-005 
0.0001812 -6.79585 -7.0682 -3.67275 -3.67275 0.00036678 -2.72353e-005 
0.0001818 -6.34418 -7.03918 -3.8697 -3.8697 0.000386448 -6.95004e-005 
0.0001824 -5.86972 -6.98487 -4.05275 -4.05275 0.000404729 -0.000111516 
0.000183 -5.37417 -6.90548 -4.22124 -4.22124 0.000421555 -0.000153131 
0.0001836 -4.85933 -6.80128 -4.37457 -4.37457 0.000436867 -0.000194196 
0.0001842 -4.32703 -6.67266 -4.51218 -4.51218 0.00045061 -0.000234563 
0.0001848 -3.77918 -6.52006 -4.63359 -4.63359 0.000462735 -0.000274088 
0.0001854 -3.21777 -6.34405 -4.73836 -4.73836 0.000473197 -0.000312628 
0.000186 -2.64479 -6.14524 -4.8261 -4.8261 0.00048196 -0.000350045 
0.0001866 -2.06232 -5.92437 -4.89651 -4.89651 0.000488991 -0.000386205 
0.0001872 -1.47243 -5.68221 -4.94933 -4.94933 0.000494266 -0.000420978 
0.0001878 -0.87726 -5.41965 -4.98438 -4.98438 0.000497766 -0.000454239 
0.0001884 -0.278937 -5.13762 -5.00152 -5.00152 0.000499478 -0.000485868 
0.000189 0.320388 -4.83713 -5.00069 -5.00069 0.000499395 -0.000515752 
0.0001896 0.918562 -4.51927 -4.98191 -4.98191 0.000497519 -0.000543783 
0.0001902 1.51344 -4.18518 -4.94523 -4.94523 0.000493856 -0.000569861 
0.0001908 2.10287 -3.83605 -4.89078 -4.89078 0.000488419 -0.000593893 
0.0001914 2.68476 -3.47315 -4.81877 -4.81877 0.000481228 -0.000615791 
0.000192 3.257 -3.09777 -4.72945 -4.72945 0.000472308 -0.000635477 
0.0001926 3.81754 -2.71126 -4.62315 -4.62315 0.000461691 -0.00065288 
0.0001932 4.36438 -2.31501 -4.50023 -4.50023 0.000449417 -0.000667939 
